id,idMesa,codigoMesa,idEleccion,idUbigeo,centroPoblado,nombreLocalVotacion,codigoLocalVotacion,totalElectoresHabiles,totalVotosEmitidos,totalVotosValidos,totalAsistentes,porcentajeParticipacionCiudadana,estadoActa,estadoComputo,codigoEstadoActa,descripcionEstadoActa,adAgrupacionPolitica,adDescripcion,adVotos,adPorcentajeVotosEmitidos
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,22,PARTIDO MORADO,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,24,PARTIDO PATRIÓTICO DEL PERÚ,,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,2,AHORA NACIÓN - AN,5,7.143
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,32,PODEMOS PERÚ,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,37,UN CAMINO DIFERENTE,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,20,PARTIDO DEMOCRÁTICO SOMOS PERÚ,0,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,14,PARTIDO CÍVICO OBRAS,1,1.429
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,12,PARTIDO APRISTA PERUANO,5,7.143
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,19,PARTIDO DEMOCRATICO FEDERAL,,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,15,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,,0
8806495020214,88064,088064,14,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,61,70,24.476,D,N,C,Contabilizada,23,PARTIDO PAÍS PARA TODOS,3,4.286
